Designator,Footprint,Quantity,Value,LCSC Part #
BR1,SOP245P670X290-4N,1,MB10S,
C1,0201,1,1n,
"C10, C3",0201,2,100n,
C11,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,100n,
C2,0201,1,10n,
C4,0201,1,1u,
C5,0201,1,10u,
C6,0201,1,0.1u,
"C7, C8",0201,2,220n,
C9,C_Axial_L12.0mm_D7.5mm_P20.00mm_Horizontal,1,1u33,
D1,DIONM5336X265N,1,SMBJ24CA,
D2,TN1215800GTR,1,TN1215-800G-TR,
"D3, D4, D5",D_SMA,3,US1M,
IC1,SOP50P490X110-10N,1,MAX9924UAUB+,
IC2,SOIC127P600X175-14N,1,"74HC14D-Q100,118",
K1,AQY212EHAX,1,AQY212EHAX,
Q1,SOT-23,1,MMBT2222A,
"R1, R16, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,3,100R,
"R10, R11, R6, R7",0201,4,10k,
"R12, R15, R21, R9",0201,4,1k,
R13,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,15R,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,130R,
R17,0201,1,47k,
R18,0201,1,330k,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,100k,
"R20, R4, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,3,10k,
R22,0201,1,100k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,220R,
R8,0201,1,4k7,
T1,SMLP5001E,1,SM-LP-5001E,
U1,WEMOS_S2_mini,1,WeMos_S2_mini,
