Designator,Mid X,Mid Y,Rotation,Layer
BR1,178.975,-69.122,0.0,top
C1,183.815,-98.875,0.0,top
C10,147.805,-87.425,0.0,top
C11,178.575,-73.805,0.0,top
C2,183.815,-100.625,0.0,top
C3,183.815,-102.375,0.0,top
C4,183.815,-104.125,0.0,top
C5,183.815,-105.875,0.0,top
C6,183.815,-107.625,0.0,top
C7,186.265,-98.875,0.0,top
C8,186.265,-100.625,0.0,top
C9,152.7,-70.5,0.0,top
D1,180.5,-122.312,0.0,top
D2,150.312,-80.88,0.0,top
D3,168.48,-77.485,0.0,top
D4,168.48,-82.035,0.0,top
D5,168.48,-86.585,0.0,top
IC1,187.8,-122.0,0.0,top
IC2,186.75,-77.19,0.0,top
K1,179.64,-103.6,0.0,top
Q1,151.485,-88.95,180.0,top
R1,174.265,-99.575,0.0,top
R10,188.715,-98.875,0.0,top
R11,188.715,-100.625,0.0,top
R12,188.715,-102.375,0.0,top
R13,144.145,-88.125,0.0,top
R14,144.145,-91.275,0.0,top
R15,147.805,-89.175,0.0,top
R16,144.145,-94.425,0.0,top
R17,147.805,-90.925,0.0,top
R18,147.805,-92.675,0.0,top
R19,177.025,-77.105,0.0,top
R2,174.265,-102.725,0.0,top
R20,177.025,-80.255,0.0,top
R21,180.685,-76.405,0.0,top
R22,180.685,-78.155,0.0,top
R3,174.265,-105.875,0.0,top
R4,174.265,-109.025,0.0,top
R5,174.265,-112.175,0.0,top
R6,186.265,-102.375,0.0,top
R7,186.265,-104.125,0.0,top
R8,186.265,-105.875,0.0,top
R9,186.265,-107.625,0.0,top
T1,185.05,-114.55,0.0,top
U1,156.15,-115.515,0.0,top
